Season,Date,Opponent,W/L,Score,G,A,PTS,SH,PCT,NO/MIN,PP,SH,EN,GW,GTG,HT,UA,BLK
2014,02/03/15,vs Boston College,L,1-3,1,2,3,18,0.056,2-4,0,0,0,0,0,0,0,13
2014,02/06/15,Providence,W,2-1,2,4,6,25,0.08,6-12,0,0,0,1,0,0,0,13
2014,2/10/15,vs Boston University,L,1-3,1,1,2,32,0.031,3-6,0,0,0,0,0,0,0,12
2014,2/14/15,at Connecticut,W,4-3,4,6,10,28,0.143,2-4,1,1,0,1,0,0,0,4
2014,2/15/15,at UConn,T,2-2,2,3,5,50,0.04,6-12,2,0,0,0,1,0,0,11
2014,2/21/15,at New Hampshire,W,5-1,5,7,12,24,0.208,3-6,1,0,0,1,0,0,0,12
2014,2/22/15,New Hampshire,W,3-1,3,4,7,26,0.115,2-4,0,0,1,1,0,0,1,17
2014,2/27/15,New Hampshire,L,1-2,1,2,3,41,0.024,4-8,0,0,0,0,0,0,0,14
2014,2/28/15,New Hampshire,W,3-2,3,6,9,34,0.088,3-6,1,0,0,1,0,0,0,22
2014,03/01/15,New Hampshire,W,4-3,4,8,12,26,0.154,2-4,2,0,0,1,0,1,0,19
2014,03/07/15,vs Boston University,L,1-6,1,2,3,16,0.063,3-6,0,0,0,0,0,0,0,16
