OBJECTID,StationID,Direction,Volume,DateTime,ABPair,DateTimeTxt,State,Sta_Dir,DateTime2,DateTime1
525510,P0042,N,2074,2011/05/22 13:00:00+00,4560345792,5/22/2011 1:00 PM,MD,P0042_N,05/22/2011 13:00 PM,05/22/2011 13:00
525511,P0042,N,2120,2011/05/22 14:00:00+00,4560345792,5/22/2011 2:00 PM,MD,P0042_N,05/22/2011 14:00 PM,05/22/2011 14:00
525512,P0042,N,2124,2011/05/22 15:00:00+00,4560345792,5/22/2011 3:00 PM,MD,P0042_N,05/22/2011 15:00 PM,05/22/2011 15:00
525513,P0042,N,1976,2011/05/22 16:00:00+00,4560345792,5/22/2011 4:00 PM,MD,P0042_N,05/22/2011 16:00 PM,05/22/2011 16:00
525514,P0042,N,1946,2011/05/22 17:00:00+00,4560345792,5/22/2011 5:00 PM,MD,P0042_N,05/22/2011 17:00 PM,05/22/2011 17:00
525515,P0042,N,1707,2011/05/22 18:00:00+00,4560345792,5/22/2011 6:00 PM,MD,P0042_N,05/22/2011 18:00 PM,05/22/2011 18:00
525516,P0042,N,1493,2011/05/22 19:00:00+00,4560345792,5/22/2011 7:00 PM,MD,P0042_N,05/22/2011 19:00 PM,05/22/2011 19:00
525517,P0042,N,1377,2011/05/22 20:00:00+00,4560345792,5/22/2011 8:00 PM,MD,P0042_N,05/22/2011 20:00 PM,05/22/2011 20:00
525518,P0042,N,831,2011/05/22 21:00:00+00,4560345792,5/22/2011 9:00 PM,MD,P0042_N,05/22/2011 21:00 PM,05/22/2011 21:00
525519,P0042,N,542,2011/05/22 22:00:00+00,4560345792,5/22/2011 10:00 PM,MD,P0042_N,05/22/2011 22:00 PM,05/22/2011 22:00
525520,P0042,N,295,2011/05/22 23:00:00+00,4560345792,5/22/2011 11:00 PM,MD,P0042_N,05/22/2011 23:00 PM,05/22/2011 23:00
525521,P0042,S,335,2011/05/22 00:00:00+00,4579245603,5/22/2011 0:00,MD,P0042_S,05/22/2011 00:00 AM,05/22/2011 00:00
525522,P0042,S,220,2011/05/22 01:00:00+00,4579245603,5/22/2011 1:00 AM,MD,P0042_S,05/22/2011 01:00 AM,05/22/2011 01:00
525523,P0042,S,151,2011/05/22 02:00:00+00,4579245603,5/22/2011 2:00 AM,MD,P0042_S,05/22/2011 02:00 AM,05/22/2011 02:00
525524,P0042,S,95,2011/05/22 03:00:00+00,4579245603,5/22/2011 3:00 AM,MD,P0042_S,05/22/2011 03:00 AM,05/22/2011 03:00
525525,P0042,S,127,2011/05/22 04:00:00+00,4579245603,5/22/2011 4:00 AM,MD,P0042_S,05/22/2011 04:00 AM,05/22/2011 04:00
525526,P0042,S,162,2011/05/22 05:00:00+00,4579245603,5/22/2011 5:00 AM,MD,P0042_S,05/22/2011 05:00 AM,05/22/2011 05:00
525527,P0042,S,334,2011/05/22 06:00:00+00,4579245603,5/22/2011 6:00 AM,MD,P0042_S,05/22/2011 06:00 AM,05/22/2011 06:00
525528,P0042,S,472,2011/05/22 07:00:00+00,4579245603,5/22/2011 7:00 AM,MD,P0042_S,05/22/2011 07:00 AM,05/22/2011 07:00
525529,P0042,S,866,2011/05/22 08:00:00+00,4579245603,5/22/2011 8:00 AM,MD,P0042_S,05/22/2011 08:00 AM,05/22/2011 08:00
525530,P0042,S,1112,2011/05/22 09:00:00+00,4579245603,5/22/2011 9:00 AM,MD,P0042_S,05/22/2011 09:00 AM,05/22/2011 09:00
525531,P0042,S,1455,2011/05/22 10:00:00+00,4579245603,5/22/2011 10:00 AM,MD,P0042_S,05/22/2011 10:00 AM,05/22/2011 10:00
525532,P0042,S,1691,2011/05/22 11:00:00+00,4579245603,5/22/2011 11:00 AM,MD,P0042_S,05/22/2011 11:00 AM,05/22/2011 11:00
525533,P0042,S,2114,2011/05/22 12:00:00+00,4579245603,5/22/2011 12:00 PM,MD,P0042_S,05/22/2011 12:00 PM,05/22/2011 12:00
525534,P0042,S,2029,2011/05/22 13:00:00+00,4579245603,5/22/2011 1:00 PM,MD,P0042_S,05/22/2011 13:00 PM,05/22/2011 13:00
525535,P0042,S,1833,2011/05/22 14:00:00+00,4579245603,5/22/2011 2:00 PM,MD,P0042_S,05/22/2011 14:00 PM,05/22/2011 14:00
525536,P0042,S,1715,2011/05/22 15:00:00+00,4579245603,5/22/2011 3:00 PM,MD,P0042_S,05/22/2011 15:00 PM,05/22/2011 15:00
525537,P0042,S,1681,2011/05/22 16:00:00+00,4579245603,5/22/2011 4:00 PM,MD,P0042_S,05/22/2011 16:00 PM,05/22/2011 16:00
525538,P0042,S,1609,2011/05/22 17:00:00+00,4579245603,5/22/2011 5:00 PM,MD,P0042_S,05/22/2011 17:00 PM,05/22/2011 17:00
525539,P0042,S,1419,2011/05/22 18:00:00+00,4579245603,5/22/2011 6:00 PM,MD,P0042_S,05/22/2011 18:00 PM,05/22/2011 18:00
525540,P0042,S,1103,2011/05/22 19:00:00+00,4579245603,5/22/2011 7:00 PM,MD,P0042_S,05/22/2011 19:00 PM,05/22/2011 19:00
525541,P0042,S,1006,2011/05/22 20:00:00+00,4579245603,5/22/2011 8:00 PM,MD,P0042_S,05/22/2011 20:00 PM,05/22/2011 20:00
525542,P0042,S,634,2011/05/22 21:00:00+00,4579245603,5/22/2011 9:00 PM,MD,P0042_S,05/22/2011 21:00 PM,05/22/2011 21:00
525543,P0042,S,375,2011/05/22 22:00:00+00,4579245603,5/22/2011 10:00 PM,MD,P0042_S,05/22/2011 22:00 PM,05/22/2011 22:00
525544,P0042,S,279,2011/05/22 23:00:00+00,4579245603,5/22/2011 11:00 PM,MD,P0042_S,05/22/2011 23:00 PM,05/22/2011 23:00
525545,P0042,N,212,2011/05/26 00:00:00+00,4560345792,5/26/2011 0:00,MD,P0042_N,05/26/2011 00:00 AM,05/26/2011 00:00
